constellation nb,TDT,AT,PV,LTY,correct_detections,total_images,success rate,multiple det.,solved with,problems,abbreviations
0,0.1,3,8,10,9,10,0.9,1,"GreLum, LowDiff",,LowDiff = take set with lowest triangle difference
1,,,,,,10,0,,,3 stars; very hard to detect,GreLum = take set with greatest luminosity
2,0.1,5,5,10,9,10,0.9,0,,,
3,0.1,2,10,5.5,7,10,0.7,0,,,
4,0.1,5,15,10,6,10,0.6,1,"GreLum, LowDiff",,
5,0.02,3 or 5,5,10,10,10,1,0,,,
6,0.1,5,5,10,9,10,0.9,2,"GreLum, LowDiff",,
7,0.05,3,5,10,10,10,1,0,,,
8,0.1,2,10,10,3,10,0.3,2,"GreLum, LowDiff. Remove some stars from model for better results?",,
9,0.02,5,3,10,10,10,1,0,,,
10,0.1,3,5,7,8,10,0.8,0,,,
11,0.1,3,5,10,30,30,1,2,"GreLum, LowDiff",,
12,,,,,,10,0,,,2 stars; impossible to detect,
13,0.1,2,5,10,10,10,1,0,,,
14,,,,,,10,0,,,2 stars; impossible to detect,
15,0.05,2,5,10,5,10,0.5,0,,,
16,0.1,3,10,10,8,10,0.8,1,GreLum or LowDiff,,
17,0.02,2,7,10,10,10,1,0,,,
18,0.1,3,7,10,2,10,0.2,0,,,
19,0.1,3,10,10,10,10,1,8,GreLum,,
20,0.1,1,10,7,4,10,0.4,2,GreLum,,
21,0.1,3,5,10,10,10,1,4,"GreLum, LowDiff",,
22,0.01,3,3,10,10,10,1,1,"GreLum, LowDiff",,
23,0.05,3,5,10,10,10,1,2,"GreLum, LowDiff",,
24,0.05,3,3,10,10,10,1,2,"GreLum, LowDiff",,
25,0.5,3,5,20,6,10,0.6,2,"GreLum, LowDiff",,
26,0.05,3,3,10,10,10,1,0,,,
27,0.05,3,3,10,10,10,1,0,,,
28,0.05,3,3,10,10,10,1,0,,,
29,0.05,3,3,10,10,10,1,2,GreLum,,
30,0.05,3,5,10,10,10,1,2,GreLum,,
31,0.05,3,5,10,10,10,1,0,,,
32,0.05,3,5,10,10,10,1,0,,,
33,0.1,2,10,10,7,10,0.7,3,GreLum,,
34,,,,,,10,0,,"(?)some cases GreLum, some LowDiff",3 stars; very hard to detect,
35,0.5,2,10,10,3,10,0.3,3,GreLum,,
36,,,,,,10,0,,,3 stars; very hard to detect,
37,0.03,3,4,10,10,10,1,4,GreLum,,
38,0.05,3,5,10,10,10,1,0,,,
39,0.1,2,10,10,2,10,0.2,0,maybe remove some stars from model for better accuracy,,
40,0.05,3,2,5,10,10,1,5,LowDiff,,
41,0.1,3,12,10,10,10,1,3,LowDiff,,
42,0.05,5,3,20,6,10,0.6,0,,3 stars; very hard to detect,
43,0.02,3,5,10,10,10,1,0,,,
44,0.05,3,5,10,10,10,1,0,,,
45,0.05,3,12,10,9,10,0.9,0,,,
46,0.05,3,5,10,10,10,1,2,GreLum,,
47,0.05,3,5,10,10,10,1,0,,,
48,0.1,2,5,10,6,10,0.6,2,"GreLum, LowDiff",,
49,0.01,3,5,10,10,10,1,0,,,
50,0.1,2,10,5,10,10,1,7,GreLum,,
51,0.05,3,5,10,9,10,0.9,0,,,
52,0.05,3,1,10,10,10,1,0,,,
53,0.05,5,5,10,7,10,0.7,0,,,
54,0.05,3,5,7,8,10,0.8,0,,,
55,0.05,3,3,10,10,10,1,0,,,
56,0.03,3,3,10,10,10,1,0,,,
57,0.03,5,3,10,7,10,0.7,2,,3 stars; very hard to detect,
58,0.05,3,5,10,7,10,0.7,0,,,
59,0.05,5,5,40,7,10,0.7,6,LowDiff,raise AT for lower time,
60,0.05,4,5,10,10,10,1,0,,,
61,0.05,3,5,10,10,10,1,1,GreLum,,
62,0.05,3,3,10,4,10,0.4,2,GreLum,20 stars; very hard to detect,
63,0.05,3,5,10,10,10,1,0,,,
64,,,,,,10,0,,,3 stars; very hard to detect,
65,0.1,3,10,10,6,10,0.6,1,GreLum,,
66,0.05,3,10,10,9,10,0.9,5,LowDiff,,
67,0.02,3,5,10,10,10,1,1,"GreLum, LowDiff",,
68,,,,,,10,0,,,3 stars; very hard to detect,
69,0.05,3,3,10,10,10,1,0,,,
70,0.05,7,5,10,6,10,0.6,0,,,
71,0.01,5,3,10,10,10,1,0,,,
72,0.05,3,3,10,10,10,1,1,GreLum,,
73,0.05,3,5,7,10,10,1,0,,,
74,0.05,3,3,10,10,10,1,0,,,
75,0.1,2,5,10,7,10,0.7,0,,,
76,0.05,3,3,10,4,10,0.4,0,,,
77,0.05,5,3,10,10,10,1,0,,,
78,0.02,5,3,10,6,10,0.6,0,,,
79,,,,,,10,0,,,3 stars; very hard to detect,
80,,,,,,10,0,,,3 stars; very hard to detect,
81,,,,,,10,0,,,3 stars; very hard to detect,
82,0.01,3,5,10,10,10,1,0,,,
83,0.05,3,5,10,5,10,0.5,1,GreLum,,
84,0.05,3,3,10,10,10,1,0,,,
85,0.02,3,3,10,10,10,1,0,,,
86,0.05,3,10,10,10,10,1,3,GreLum,"PV=7 => 9 detections, 0 multiple det.",
87,0.05,3,3,10,10,10,1,0,,,
88,,,,,,10,0,,,3 stars; very hard to detect,
89,,,,,,,,,,,
